------------------------------clang------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.21/0.35           	0.18/0.3            	0.17/0.38           	0.04/0.09           	
o1             	0.31/0.31           	0.39/0.35           	0.43/0.47           	0.1/0.11            	
o2             	0.34/0.34           	0.41/0.33           	0.48/0.48           	0.11/0.1            	
o3             	0.33/0.33           	0.41/0.33           	0.48/0.48           	0.12/0.11           	
os             	0.34/0.34           	0.41/0.34           	0.48/0.48           	0.11/0.1            	

------------------------------gcc  ------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.12/0.22           	0.2/0.33            	0.16/0.37           	0.03/0.08           	
o1             	0.26/0.29           	0.32/0.32           	0.39/0.45           	0.11/0.12           	
o2             	0.32/0.31           	0.38/0.31           	0.47/0.47           	0.12/0.12           	
o3             	0.32/0.32           	0.39/0.31           	0.47/0.47           	0.13/0.12           	
os             	0.33/0.3            	0.14/0.11           	0.46/0.42           	0.16/0.15           	

