------------------------------clang------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.22/1.44           	0.32/1.91           	0.33/1.53           	0.79/3.8            	
o1             	0.37/1.31           	0.41/1.55           	0.28/0.9            	0.78/2.89           	
o2             	0.38/1.08           	0.47/1.85           	0.28/0.83           	0.78/2.71           	
o3             	0.39/1.15           	0.48/1.97           	0.28/0.82           	0.77/2.53           	
os             	0.38/1.03           	0.47/1.81           	0.28/0.78           	0.78/2.7            	

------------------------------gcc  ------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.34/2.29           	0.4/2.45            	0.35/1.63           	0.8/3.8             	
o1             	0.41/1.24           	0.46/1.64           	0.32/0.96           	0.77/2.72           	
o2             	0.41/1.23           	0.5/1.94            	0.3/0.86            	0.76/2.61           	
o3             	0.41/1.26           	0.51/2.08           	0.3/0.87            	0.76/2.38           	
os             	0.36/1.58           	0.8/2.96            	0.35/1.54           	0.72/2.64           	

