------------------------------clang------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.47/0.37           	0.41/0.33           	0.47/0.34           	0.11/0.07           	
o1             	0.41/0.41           	0.44/0.46           	0.54/0.52           	0.12/0.11           	
o2             	0.42/0.42           	0.43/0.47           	0.55/0.55           	0.11/0.12           	
o3             	0.41/0.41           	0.43/0.47           	0.54/0.54           	0.12/0.12           	
os             	0.42/0.42           	0.43/0.47           	0.55/0.55           	0.12/0.12           	

------------------------------gcc  ------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.32/0.24           	0.44/0.36           	0.45/0.33           	0.1/0.07            	
o1             	0.37/0.36           	0.41/0.43           	0.52/0.5            	0.13/0.12           	
o2             	0.39/0.39           	0.42/0.46           	0.54/0.54           	0.12/0.12           	
o3             	0.4/0.4             	0.42/0.47           	0.54/0.54           	0.13/0.13           	
os             	0.4/0.41            	0.17/0.18           	0.52/0.53           	0.18/0.18           	

