------------------------------clang------------------------------
Optimization   	|Angr       	|BinaryNinja	|Ghidra     	|Hex-Rays   	|RetDec     
o0             	        1000	        1000	        1000	        1000	        1000	
o1             	        1000	        1000	        1000	        1000	        1000	
o2             	        1000	        1000	        1000	        1000	        1000	
o3             	        1000	        1000	        1000	        1000	        1000	
os             	        1000	        1000	        1000	        1000	        1000	

------------------------------gcc  ------------------------------
Optimization   	|Angr       	|BinaryNinja	|Ghidra     	|Hex-Rays   	|RetDec     
o0             	        1000	        1000	        1000	        1000	        1000	
o1             	        1000	        1000	        1000	        1000	        1000	
o2             	        1000	        1000	        1000	        1000	        1000	
o3             	        1000	        1000	        1000	        1000	        1000	
os             	        1000	        1000	        1000	        1000	        1000	

