------------------------------clang------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.23/0.36           	0.19/0.31           	0.18/0.37           	0.03/0.05           	
o1             	0.36/0.36           	0.39/0.36           	0.45/0.48           	0.09/0.1            	
o2             	0.38/0.38           	0.42/0.34           	0.49/0.48           	0.1/0.09            	
o3             	0.38/0.37           	0.41/0.33           	0.49/0.48           	0.1/0.1             	
os             	0.38/0.38           	0.42/0.34           	0.49/0.49           	0.1/0.09            	

------------------------------gcc  ------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.14/0.24           	0.21/0.33           	0.17/0.36           	0.03/0.06           	
o1             	0.31/0.34           	0.33/0.32           	0.41/0.45           	0.09/0.1            	
o2             	0.36/0.36           	0.38/0.31           	0.47/0.46           	0.1/0.1             	
o3             	0.36/0.35           	0.38/0.31           	0.47/0.47           	0.1/0.1             	
os             	0.37/0.35           	0.13/0.1            	0.45/0.42           	0.15/0.15           	

