------------------------------clang------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.21/1.42           	0.31/1.84           	0.34/1.58           	0.83/4.03           	
o1             	0.34/1.34           	0.41/1.69           	0.27/0.96           	0.78/2.91           	
o2             	0.35/1.15           	0.47/2.01           	0.27/0.88           	0.79/2.84           	
o3             	0.36/1.23           	0.48/2.13           	0.27/0.86           	0.78/2.61           	
os             	0.35/1.14           	0.46/1.94           	0.26/0.85           	0.78/2.84           	

------------------------------gcc  ------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.34/2.38           	0.4/2.48            	0.36/1.71           	0.83/3.94           	
o1             	0.39/1.3            	0.46/1.79           	0.31/1.1            	0.78/2.94           	
o2             	0.38/1.25           	0.49/2.05           	0.29/0.93           	0.78/2.75           	
o3             	0.38/1.28           	0.5/2.24            	0.29/0.95           	0.77/2.47           	
os             	0.35/1.78           	0.81/3.1            	0.35/1.72           	0.72/2.85           	

