------------------------------clang------------------------------
Optimization    |BinaryNinja            |Ghidra                 |Hex-Rays               |RetDec             
o0              0.14                    0.24                    0.3                     0.7                 
o1              0.31                    0.27                    0.23                    0.7                 
o2              0.31                    0.28                    0.23                    0.7                 
o3              0.31                    0.28                    0.23                    0.7                 
os              0.31                    0.28                    0.23                    0.7                 

------------------------------gcc  ------------------------------
Optimization    |BinaryNinja            |Ghidra                 |Hex-Rays               |RetDec             
 o0                     0.26                    0.29                    0.32                    0.71                
o1              0.34                    0.33                    0.24                    0.7                 
o2              0.34                    0.31                    0.22                    0.7                 
o3              0.34                    0.31                    0.22                    0.7                 
os              0.21                    0.64                    0.22                    0.65
