------------------------------clang------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.36/0.22           	0.31/0.18           	0.39/0.19           	0.08/0.04           	
o1             	0.34/0.34           	0.36/0.4            	0.47/0.45           	0.11/0.1            	
o2             	0.36/0.36           	0.35/0.42           	0.49/0.49           	0.1/0.11            	
o3             	0.35/0.35           	0.35/0.42           	0.48/0.48           	0.11/0.11           	
os             	0.36/0.36           	0.35/0.41           	0.49/0.49           	0.1/0.11            	

------------------------------gcc  ------------------------------
Optimization   	|BinaryNinja        	|Ghidra             	|Hex-Rays           	|RetDec             
o0             	0.23/0.12           	0.34/0.21           	0.38/0.18           	0.08/0.04           	
o1             	0.31/0.29           	0.34/0.35           	0.46/0.42           	0.12/0.11           	
o2             	0.33/0.33           	0.33/0.4            	0.48/0.48           	0.11/0.12           	
o3             	0.33/0.33           	0.33/0.4            	0.48/0.48           	0.12/0.12           	
os             	0.33/0.35           	0.12/0.15           	0.44/0.47           	0.17/0.17           	

