------------------------------clang------------------------------
Optimization   	|Angr       	|BinaryNinja	|Ghidra     	|Hex-Rays   	|RetDec     
o0             	        2000	        2000	        2000	        2000	        2000	
o1             	        2000	        2000	        2000	        2000	        2000	
o2             	        2000	        2000	        2000	        2000	        2000	
o3             	        2000	        2000	        2000	        2000	        2000	
os             	        2000	        2000	        2000	        2000	        2000	

------------------------------gcc  ------------------------------
Optimization   	|Angr       	|BinaryNinja	|Ghidra     	|Hex-Rays   	|RetDec     
o0             	        2000	        2000	        2000	        2000	        2000	
o1             	        2000	        2000	        2000	        2000	        2000	
o2             	        2000	        2000	        2000	        2000	        2000	
o3             	        2000	        2000	        2000	        2000	        2000	
os             	        2000	        2000	        2000	        2000	        2000	

